id,session_id,level_id,question_index,question_text,selected_answer,is_correct,timestamp
25600f5b-5d35-6c77-00e2-57570bf0cbfe,session_mock_4_022fa6,1,1,Mock question 2 (level 1),answer_1_wrong,false,2026-07-08T11:33:11.000Z
48c9bcf0-c38d-a967-7537-feaedb56fa76,session_mock_4_022fa6,2,2,Mock question 3 (level 2),answer_2_correct,true,2026-07-08T11:35:14.000Z
1ed4e1c2-e271-688c-4a9f-e307b4ca9e47,session_mock_4_022fa6,3,3,Mock question 4 (level 3),answer_3_correct,true,2026-07-08T11:37:11.000Z
5ef70d02-8c8e-d698-fbab-824c701a0340,session_mock_4_022fa6,4,4,Mock question 5 (level 4),answer_4_correct,true,2026-07-08T11:39:12.000Z
15f612fe-b9d7-eb67-6f3c-0f5f5ea1eae4,session_mock_4_022fa6,5,5,Mock question 6 (level 5),answer_5_correct,true,2026-07-08T11:41:01.000Z
6212ce3b-f4bc-f219-01ff-a9083487e890,session_mock_5_c6374e,0,0,Mock question 1 (level 0),answer_0_wrong,false,2026-07-08T12:01:10.000Z
fa14a4c6-e7d0-0403-aa6b-43429f7a31bc,session_mock_5_c6374e,1,1,Mock question 2 (level 1),answer_1_wrong,false,2026-07-08T12:03:02.000Z
78e57232-3f3b-502a-1c2d-fd917e23752c,session_mock_5_c6374e,2,2,Mock question 3 (level 2),answer_2_correct,true,2026-07-08T12:05:02.000Z
a9d393f1-e6d2-2048-79fe-6348183d0a4e,session_mock_5_c6374e,3,3,Mock question 4 (level 3),answer_3_wrong,false,2026-07-08T12:07:01.000Z
f6bd298e-81b5-dd5b-d10d-7baf3a4202d9,session_mock_5_c6374e,4,4,Mock question 5 (level 4),answer_4_correct,true,2026-07-08T12:09:11.000Z
39a25315-f47e-d503-abed-15803d62b09b,session_mock_5_c6374e,5,5,Mock question 6 (level 5),answer_5_correct,true,2026-07-08T12:11:03.000Z
fb9ef8cd-231a-77b0-5e64-7b7a3af0feea,session_mock_6_bf5adc,0,0,Mock question 1 (level 0),answer_0_correct,true,2026-07-08T12:31:06.000Z
8f0b98c4-b2fd-e6e8-0df9-263204f53bde,session_mock_6_bf5adc,1,1,Mock question 2 (level 1),answer_1_correct,true,2026-07-08T12:33:03.000Z
f584dbb0-f6d0-356e-1a0d-4e66b12731d3,session_mock_6_bf5adc,2,2,Mock question 3 (level 2),answer_2_wrong,false,2026-07-08T12:35:17.000Z
f7e25b5f-e5f6-add5-d2a8-ac1b28bb9fad,session_mock_6_bf5adc,3,3,Mock question 4 (level 3),answer_3_correct,true,2026-07-08T12:37:05.000Z
9e9a3037-739f-f053-9b3c-51d803c1c77b,session_mock_6_bf5adc,4,4,Mock question 5 (level 4),answer_4_correct,true,2026-07-08T12:39:15.000Z
7749ca6c-dc70-860a-859e-84190575014d,session_mock_6_bf5adc,5,5,Mock question 6 (level 5),answer_5_correct,true,2026-07-08T12:41:03.000Z
501f957d-b402-9924-c341-af4fce6e6073,session_mock_7_4293b0,0,0,Mock question 1 (level 0),answer_0_wrong,false,2026-07-08T13:01:07.000Z
25f060dc-ee9b-4f17-3d30-1381ddb13b42,session_mock_7_4293b0,1,1,Mock question 2 (level 1),answer_1_correct,true,2026-07-08T13:03:08.000Z
2bb0a4a2-be72-8c78-5dba-7747d784ff0c,session_mock_7_4293b0,2,2,Mock question 3 (level 2),answer_2_correct,true,2026-07-08T13:05:18.000Z
425a5792-b2d1-fce6-d64b-7b0f73c1a149,session_mock_7_4293b0,3,3,Mock question 4 (level 3),answer_3_wrong,false,2026-07-08T13:07:06.000Z
90defbad-29dd-86f3-b45f-a91f6500f5de,session_mock_7_4293b0,4,4,Mock question 5 (level 4),answer_4_correct,true,2026-07-08T13:09:01.000Z
2d31de4e-33d5-ac50-8a39-8af65c4abceb,session_mock_7_4293b0,5,5,Mock question 6 (level 5),answer_5_correct,true,2026-07-08T13:11:18.000Z
3daea000-3b0f-eea5-7022-fd5cadf362fc,session_mock_8_0347e4,0,0,Mock question 1 (level 0),answer_0_correct,true,2026-07-08T13:31:18.000Z
3cb73094-c59e-e83f-896f-559d95c8f403,session_mock_8_0347e4,1,1,Mock question 2 (level 1),answer_1_correct,true,2026-07-08T13:33:05.000Z
c6cb391b-72c3-fead-19b7-ed1bde34be38,session_mock_8_0347e4,2,2,Mock question 3 (level 2),answer_2_correct,true,2026-07-08T13:35:11.000Z
458a9da9-474d-f79a-749b-112715d84731,session_mock_8_0347e4,3,3,Mock question 4 (level 3),answer_3_correct,true,2026-07-08T13:37:19.000Z
777be3e5-60cc-9e41-c88a-e4bb99b07565,session_mock_8_0347e4,4,4,Mock question 5 (level 4),answer_4_correct,true,2026-07-08T13:39:18.000Z
30df1f2f-09d1-37e7-becb-9bff6fc920a3,session_mock_8_0347e4,5,5,Mock question 6 (level 5),answer_5_correct,true,2026-07-08T13:41:18.000Z
40a17ffc-7c36-a5e0-7b30-1e956d7a373a,session_mock_9_8d9851,0,0,Mock question 1 (level 0),answer_0_correct,true,2026-07-08T14:01:08.000Z
186358b3-bfeb-5bbe-ad30-14f07d028195,session_mock_9_8d9851,1,1,Mock question 2 (level 1),answer_1_correct,true,2026-07-08T14:03:05.000Z
f6a9d9f5-8e70-2daa-0415-58d69b47e076,session_mock_9_8d9851,2,2,Mock question 3 (level 2),answer_2_wrong,false,2026-07-08T14:05:14.000Z
fcf47f66-242f-c057-3e39-b53a77e22752,session_mock_9_8d9851,3,3,Mock question 4 (level 3),answer_3_wrong,false,2026-07-08T14:07:12.000Z
cd71aaf6-497c-3826-add0-94103de428aa,session_mock_9_8d9851,4,4,Mock question 5 (level 4),answer_4_correct,true,2026-07-08T14:09:16.000Z
71a31be4-c415-e5d9-aef1-36c720e30e62,session_mock_9_8d9851,5,5,Mock question 6 (level 5),answer_5_wrong,false,2026-07-08T14:11:19.000Z
6aee40c4-783c-402c-1b0e-75bbba9757bb,session_mock_10_745984,0,0,Mock question 1 (level 0),answer_0_correct,true,2026-07-08T14:31:15.000Z
d6089729-26a3-9a1e-8a49-a69bb782dfeb,session_mock_10_745984,1,1,Mock question 2 (level 1),answer_1_correct,true,2026-07-08T14:33:15.000Z
8a57c52f-1b88-6505-f79e-e0497b0fee77,session_mock_10_745984,2,2,Mock question 3 (level 2),answer_2_correct,true,2026-07-08T14:35:12.000Z
69837aa8-2568-c11d-868a-57f8fc456693,session_mock_10_745984,3,3,Mock question 4 (level 3),answer_3_wrong,false,2026-07-08T14:37:04.000Z
0d12b6f4-381d-257a-c750-4683697ca129,session_mock_10_745984,4,4,Mock question 5 (level 4),answer_4_correct,true,2026-07-08T14:39:10.000Z
1a449d5a-587c-fba3-2003-a3433ef7ecbd,session_mock_10_745984,5,5,Mock question 6 (level 5),answer_5_correct,true,2026-07-08T14:41:19.000Z
36f3642c-2dd5-d4ae-627a-0bfbf721d16b,session_mock_11_384c66,0,0,Mock question 1 (level 0),answer_0_correct,true,2026-07-08T15:01:15.000Z
b6917f4e-b8f1-be8a-b4ae-2b8b38c88332,session_mock_11_384c66,1,1,Mock question 2 (level 1),answer_1_correct,true,2026-07-08T15:03:17.000Z
a8e271a1-0004-89ce-8662-50ed9f55054d,session_mock_11_384c66,2,2,Mock question 3 (level 2),answer_2_correct,true,2026-07-08T15:05:10.000Z
63c48ead-df0d-7055-d495-0b6fcc28b26c,session_mock_11_384c66,3,3,Mock question 4 (level 3),answer_3_correct,true,2026-07-08T15:07:10.000Z
5fd8704d-980f-ca52-bd6e-49971416d96c,session_mock_11_384c66,4,4,Mock question 5 (level 4),answer_4_correct,true,2026-07-08T15:09:05.000Z
8b6d4152-5e31-d125-b320-1a32b33f46c9,session_mock_11_384c66,5,5,Mock question 6 (level 5),answer_5_correct,true,2026-07-08T15:11:00.000Z
9870e729-918a-6cfb-0619-b38d3b962f59,session_mock_12_37bbd8,0,0,Mock question 1 (level 0),answer_0_wrong,false,2026-07-08T15:31:12.000Z
8e37e199-2c71-80ab-ccec-4ad3f3e93283,session_mock_12_37bbd8,1,1,Mock question 2 (level 1),answer_1_correct,true,2026-07-08T15:33:07.000Z
86e9a0b2-81eb-63ef-1b07-3402baf27514,session_mock_12_37bbd8,2,2,Mock question 3 (level 2),answer_2_correct,true,2026-07-08T15:35:09.000Z
d15bd98a-8a7d-ff1c-cd39-699c8311c33f,session_mock_12_37bbd8,3,3,Mock question 4 (level 3),answer_3_correct,true,2026-07-08T15:37:17.000Z
ef3fa742-3fad-d44e-b209-8ebfbc314b11,session_mock_12_37bbd8,4,4,Mock question 5 (level 4),answer_4_wrong,false,2026-07-08T15:39:03.000Z
6e559f82-8796-94e7-62ab-497dfbb28ddb,session_mock_12_37bbd8,5,5,Mock question 6 (level 5),answer_5_correct,true,2026-07-08T15:41:19.000Z
fe48f6ef-00f2-c42a-621f-6f131b8a9529,session_mock_13_a1610b,0,0,Mock question 1 (level 0),answer_0_correct,true,2026-07-08T16:01:17.000Z
df641704-10fd-d16c-189a-03851880551d,session_mock_13_a1610b,1,1,Mock question 2 (level 1),answer_1_correct,true,2026-07-08T16:03:08.000Z
c4eb1aca-fc1b-1c46-3ac2-818fcb51a739,session_mock_13_a1610b,2,2,Mock question 3 (level 2),answer_2_correct,true,2026-07-08T16:05:04.000Z
3e951b84-6302-aa30-59ac-ee571c221c5c,session_mock_13_a1610b,3,3,Mock question 4 (level 3),answer_3_correct,true,2026-07-08T16:07:09.000Z
71157291-ce5e-5300-2059-7234b69266ec,session_mock_13_a1610b,4,4,Mock question 5 (level 4),answer_4_correct,true,2026-07-08T16:09:17.000Z
433174dd-e4d3-f44c-35c1-60e3a351d094,session_mock_13_a1610b,5,5,Mock question 6 (level 5),answer_5_wrong,false,2026-07-08T16:11:11.000Z
